,ville_raw,quartier_raw,price_raw,room_nb_raw,bedroom_nb_raw,surface_raw
2438,Paris 16ème,Auteuil Sud,849000,4,3,97.0
2439,Paris 6ème,Notre Dame des Champs,1699000,5,3,118.0
2440,,,647900,2,1,52.6
2443,Paris 8ème,Mairie,424000,2,1,34.53
2444,Paris 20ème,Saint Blaise,367500,2,1,32.0
2445,Paris 1er,Palais Royal,3650000,6,4,191.0
2446,Paris 10ème,Saint Vincent de Paul-Lariboisière,1900000,6,4,192.0
2450,Paris 12ème,Aligre-Gare de Lyon,890000,3,2,89.0
2451,Paris 10ème,Chateau d'Eau-Lancry,550000,2,1,43.0
2452,Paris 15ème,Cambronne-Garibaldi,703000,3,1,54.0
2453,Paris 6ème,Odéon,685000,2,1,41.0
2454,Paris 18ème,Montmartre,486500,2,1,37.0
2455,Paris 14ème,Raspail-Montparnasse,1699000,6,3,118.0
2456,Paris 12ème,Vallée de Fécamp,310000,2,1,31.0
2457,Paris 10ème,Saint Vincent de Paul-Lariboisière,599000,3,2,46.6
2458,Paris 12ème,Bel-Air Sud,1240000,5,3,115.0
2460,,,780000,5,3,102.0
2461,Paris 15ème,Violet Commerce,650000,3,2,58.17
2462,Paris 17ème,Epinettes-Bessières,1200000,3,2,75.0
2463,,,1200000,3,2,75.0
2464,Paris 9ème,Lorette-Martyrs,945000,3,2,74.69
2465,Paris 16ème,Chaillot,2590000,6,4,182.0
2466,Paris 8ème,Triangle d'Or,7000000,4,2,192.0
2469,Paris 16ème,Muette Nord,5300000,7,4,280.0
2470,Paris 19ème,Secrétan,787500,3,2,64.54
2471,Paris 15ème,Alleray Procession,685000,4,2,72.0
2472,Paris 12ème,Vallée de Fécamp,310000,2,1,31.0
2473,Paris 15ème,Citroën-Boucicaut,557000,2,1,50.0
2474,Paris 15ème,Alleray Procession,450000,3,1,42.23
2475,Paris 18ème,Grandes Carrières-Clichy,495000,2,1,52.12
2476,Paris 17ème,Epinettes-Bessières,435000,3,2,43.64
2477,Paris 17ème,Epinettes-Bessières,1200000,3,2,75.0
2478,,,1200000,3,2,75.0
2479,Paris 9ème,Lorette-Martyrs,945000,3,2,74.69
2480,Paris 12ème,Bel-Air Sud,595000,3,1,64.0
2481,Paris 16ème,Chaillot,2590000,6,4,182.0
2482,Paris 19ème,Manin-Jaurès,420000,2,1,45.0
2483,Paris 8ème,Triangle d'Or,7000000,4,2,192.0
2484,Paris 20ème,Père Lachaise-Réunion,599000,3,2,63.18
2486,Paris 19ème,Secrétan,787500,3,2,64.54
2487,Paris 15ème,Alleray Procession,685000,4,2,72.0
2488,Paris 16ème,Auteuil Sud,635000,2,1,58.0
2489,Paris 16ème,Chaillot,325000,3,2,24.0
2492,Paris 17ème,Courcelles-Wagram,429000,2,1,40.0
2493,Paris 10ème,Chateau d'Eau-Lancry,1237000,4,2,96.29
2494,Paris 16ème,Auteuil Nord,898000,4,2,77.0
2495,Paris 13ème,Croulebarbe,499000,2,1,46.0
2496,Paris 16ème,Auteuil Nord,2080000,6,3,173.0
2497,Paris 4ème,Saint Gervais,667000,2,1,45.0
2498,Paris 16ème,Chaillot,3500000,5,3,210.0
2499,Paris 18ème,Amiraux-Simplon-Poissonniers,2070000,5,4,110.0
2500,Paris 19ème,Danube-Porte des Lilas,953000,6,4,124.0
2501,Paris 13ème,Buttes Aux Cailles-Glacière,850000,3,2,84.11
2502,Paris 19ème,Buttes Chaumont,765000,4,2,76.0
2503,Paris 17ème,Ternes-Maillot,645000,2,1,59.0
2504,Paris 14ème,Mouton Duvernet,690000,3,2,44.1
2505,Paris 16ème,Chaillot,850000,2,1,69.02
2506,Paris 16ème,Muette Nord,1555000,4,3,110.0
2507,Paris 2ème,Vivienne-Gaillon,750000,2,1,40.0
2508,Paris 16ème,Auteuil Sud,845000,4,2,72.16
2509,Paris 17ème,Courcelles-Wagram,660000,2,1,52.0
2510,Paris 19ème,Manin-Jaurès,852000,3,1,81.0
2511,Paris 3ème,Sainte Avoie,1499000,4,2,109.0
2512,Paris 8ème,Triangle d'Or,1890000,2,1,63.16
2513,Paris 7ème,Saint Thomas d'Aquin,2912000,5,3,127.0
2514,Paris 16ème,Chaillot,7350000,8,2,320.55
2515,Paris 16ème,Porte Dauphine,4900000,8,5,349.0
2516,Paris 18ème,Clignancourt-Jules Joffrin,439980,2,1,42.32
2517,Paris 3ème,Arts et Métiers,2390000,4,3,200.0
2518,Paris 19ème,Buttes Chaumont,1595000,6,5,163.52
2519,Paris 16ème,Auteuil Nord,1250000,2,1,61.66
2520,Paris 6ème,Odéon,1560000,3,2,80.0
2521,Paris 6ème,Saint Germain des Prés,1550000,3,2,90.45
2522,Paris 11ème,République-Saint Ambroise,550000,3,2,46.2
2523,Paris 3ème,Archives,660000,2,1,37.0
2524,Paris 14ème,Jean Moulin-Porte d'Orléans,2750000,13,6,315.0
2525,Paris 6ème,Notre Dame des Champs,3650000,6,4,184.0
