ville, price, room_nb, bedroom_nb, surface, quartier
Paris 04 (75004),473 000 €,2,1 ch.,42,Hôtel de Ville
Paris 10 (75010),630 000 €,3,2 ch.,51,Paris 10ème
Paris 17 (75017),669 500 €,2,1 ch.,40,Batignolles
Paris 20 (75020),810 000 €,4,3 ch.,105,Paris 20ème
Paris 08 (75008),950 000 €,2,1 ch.,54,Paris 8ème
Paris 04 (75004),1 650 000 €,4,2 ch.,116,Paris 4ème
Paris 09 (75009),1 957 000 €,5,3 ch.,150,Paris 9ème
Paris 03 (75003),2 280 000 €,7,4 ch.,190,Paris 3ème
Paris 13 (75013),2 324 000 €,5,4 ch.,148,Paris 13ème
Paris 08 (75008),3 700 000 €,5,2 ch.,173,Paris 8ème
,11 000 €,1,,4,
Paris 17 (75017),26 000 €,1,,11,Paris
Paris 08 (75008),47 250 €,1,,29,Paris 8eme Arrondissement
Paris 08 (75008),47 250 €,1,,29,Paris 8eme Arrondissement
Paris 08 (75008),47 250 €,1,,29,Paris 8eme Arrondissement
Paris 09 (75009),650 000 €,2,1 ch.,55,Square Motholon
Paris 17 (75017),48 000 €,1,,6,Paris
Paris 18 (75018),48 000 €,1,,7,Grandes-Carriã¨Res
Paris 09 (75009),48 000 €,1,,5,Paris 9ème
Paris 17 (75017),49 000 €,1,,6,Paris 17ème
,49 320 €,1,1 ch.,5,
Paris 16 (75016),50 000 €,1,,5,Paris
Paris 10 (75010),50 000 €,1,,7,
Paris 10 (75010),58 800 €,1,,6,Tous Commerces
Paris 17 (75017),59 000 €,1,1 ch.,8,
Paris 16 (75016),60 000 €,1,,6,Paris
Paris 15 (75015),61 000 €,1,,5,La Motte Picquet
Paris 08 (75008),62 000 €,1,,7,Paris 8eme
Paris 16 (75016),63 000 €,1,,6,Paris
Paris 18 (75018),63 000 €,1,,10,
Paris 10 (75010),65 000 €,1,,6,Paris 10ème
Paris 15 (75015),70 000 €,1,,8,Convention
Paris 09 (75009),70 000 €,1,,8,Place de Clichy
Paris 08 (75008),71 175 €,2,1 ch.,38,Paris 8eme Arrondissement
Paris 09 (75009),72 000 €,1,,5,Paris 09
Paris 09 (75009),72 000 €,1,1 ch.,8,Paris
Paris 06 (75006),375 000 €,1,,27,
Paris 15 (75015),72 500 €,1,,7,Paris 15ème
Paris 09 (75009),75 000 €,1,,8,Paris 9ème
Paris 09 (75009),75 000 €,1,,8,Paris 9eme Arrondissement
Paris 09 (75009),75 000 €,1,,7,Galerie Lafayette
Paris 14 (75014),75 000 €,1,,7,
Paris 10 (75010),75 000 €,1,,8,Paris 10e Arrondissement
Paris 18 (75018),75 600 €,1,,8,Paris 18
Paris 18 (75018),75 600 €,1,,7,Paris 18
Paris 09 (75009),77 240 €,1,,7,Paris 9ème
Paris 09 (75009),79 000 €,1,,6,Paris 9eme Arrondissement
Paris 16 (75016),79 000 €,1,1 ch.,9,Paris
Paris 11 (75011),79 900 €,1,,9,Paris 11e Arrondissement
Paris 10 (75010),81 000 €,1,,7,Paris 10eme Arrondissement
Paris 17 (75017),83 000 €,1,,7,Paris 17e Arrondissement
Paris 05 (75005),83 000 €,1,,7,Jardin du Luxembourg
Paris 15 (75015),84 000 €,1,,8,Vaugirard
Paris 17 (75017),86 000 €,1,1 ch.,8,Paris 17
Paris 17 (75017),86 000 €,1,,8,Paris 17ème
Paris 08 (75008),88 000 €,1,,6,Paris 8eme
Paris 10 (75010),88 000 €,1,,4,Saint Vincent de Paul
Paris 19 (75019),399 000 €,2,1 ch.,46,
Paris 14 (75014),89 500 €,1,1 ch.,6,Alesia
Paris 15 (75015),90 000 €,1,,6,Charles Michels
,90 000 €,1,1 ch.,6,
Paris 16 (75016),90 000 €,1,,8,Paris
Paris 08 (75008),91 800 €,3,2 ch.,55,Paris 8eme Arrondissement
Paris 18 (75018),95 000 €,1,1 ch.,8,Château Rouge | Marx Dormoy
Paris 11 (75011),95 230 €,1,1 ch.,8,
Paris 17 (75017),96 000 €,1,,9,Paris 17ème
Paris 16 (75016),97 000 €,1,1 ch.,8,Paris
Paris 08 (75008),99 000 €,1,,8,Saint Lazare
,100 000 €,1,1 ch.,9,
Paris 16 (75016),100 000 €,1,,9,Paris
Paris 18 (75018),100 000 €,1,,9,Paris
Paris 12 (75012),101 500 €,1,,11,Paris 13eme
Paris 17 (75017),102 000 €,1,,9,Paris
Paris 07 (75007),103 000 €,1,,7,Necker|Invalides
Paris 14 (75014),103 000 €,1,,8,Paris 14ème
Paris 12 (75012),104 923 €,1,,14,Paris 12
Paris 10 (75010),105 000 €,1,,8,Rochechouard
Paris 13 (75013),105 000 €,1,,7,Paris 13
Paris 14 (75014),650 000 €,1,,49,Paris
Paris 12 (75012),106 000 €,1,1 ch.,11,Paris 12
Paris 10 (75010),106 500 €,2,,20,
Paris 17 (75017),108 900 €,1,,9,Ternes
Paris 16 (75016),110 000 €,1,,9,Paris
Paris 10 (75010),110 000 €,1,,7,Paris
Paris 06 (75006),110 000 €,1,,7,Paris
Paris 07 (75007),110 000 €,1,,7,
Paris 18 (75018),110 000 €,1,,9,Paris 18
Paris 02 (75002),110 000 €,1,1 ch.,10,Sentier
Paris 16 (75016),110 000 €,1,1 ch.,9,Paris
Paris 10 (75010),111 000 €,1,,8,
Paris 18 (75018),112 000 €,1,,9,Paris
Paris 10 (75010),115 000 €,1,,10,Le Sentier
Paris 03 (75003),116 000 €,1,,6,Paris 3ème
Paris 03 (75003),116 000 €,1,,8,Paris
Paris 08 (75008),119 840 €,1,1 ch.,8,Eglise St Augustin
Paris 07 (75007),119 840 €,1,1 ch.,8,Ecole Militaire
Paris 07 (75007),120 000 €,1,,9,Paris 7ème
Paris 08 (75008),120 000 €,1,,13,
Paris 16 (75016),122 000 €,1,,7,Paris
Paris 19 (75019),399 000 €,2,1 ch.,46,
Paris 16 (75016),122 000 €,1,,7,Paris
Paris 15 (75015),123 000 €,1,,8,Gare Montparnasse
Paris 10 (75010),125 000 €,1,,13,Paris 10ème
Paris 16 (75116),125 000 €,1,,11,Paris
Paris 16 (75116),126 000 €,1,,10,Paris
Paris 16 (75116),126 000 €,1,1 ch.,10,Paris
Paris 16 (75016),129 000 €,1,,9,Paris
Paris 02 (75002),129 000 €,2,1 ch.,10,Paris 02
Paris 18 (75018),129 500 €,1,,11,Paris 18ème
Paris 17 (75017),130 000 €,1,,11,Paris 17ème
,130 000 €,1,1 ch.,11,
Paris 18 (75018),130 000 €,1,,10,Paris 18e Arrondissement
Paris 14 (75014),130 000 €,1,,11,
Paris 11 (75011),130 000 €,1,,10,Paris 11ème
Paris 19 (75019),130 000 €,1,,19,Paris
Paris 19 (75019),130 000 €,1,1 ch.,18,Paris 19ème
Paris 03 (75003),135 000 €,1,,10,Paris 3ème
,138 000 €,1,1 ch.,9,
Paris 07 (75007),139 000 €,1,1 ch.,9,Paris
Paris 11 (75011),139 000 €,1,,9,
Paris 19 (75019),745 000 €,4,3 ch.,77,
Paris 03 (75003),139 000 €,1,,10,Paris 3ème
Paris 17 (75017),140 000 €,1,1 ch.,11,
Paris 03 (75003),140 000 €,1,,11,Paris 03
Paris 16 (75016),140 000 €,1,1 ch.,11,Paris
,140 000 €,1,1 ch.,10,
Paris 03 (75003),140 400 €,1,,11,Arts et Métiers
Paris 08 (75008),141 000 €,1,,9,Paris 8eme Arr.
Paris 07 (75007),141 000 €,1,,9,Champ de Mars
Paris 19 (75019),142 000 €,1,,12,Paris 19ème
Paris 20 (75020),143 000 €,1,,15,
Paris 17 (75017),143 000 €,1,,9,Paris
Paris 07 (75007),145 000 €,1,,8,Invalides
Paris 15 (75015),145 000 €,1,1 ch.,9,Paris
Paris 07 (75007),145 000 €,1,,8,Invalides
Paris 17 (75017),145 000 €,1,,13,
Paris 09 (75009),145 000 €,1,,14,Paris 9ème
Paris 17 (75017),145 000 €,1,1 ch.,10,Plaine-Monceau
Paris 18 (75018),147 000 €,1,,15,Paris
